key_resp.rt random,key_resp.rt seq
1.0821967,1.2292563
1.053962,0.8954073
1.1889174,0.8909752
1.6298723,0.3416372
0.9007423,0.3727268
0.5358928,0.9531968
0.9961329,1.0278335
1.0892733,0.541581
1.4888747,0.3764652
0.5408077,1.0350517
0.4722008,1.0194913
0.5092622,1.1203947
0.5100736,1.152875
1.3032983,1.078474
1.0722726,0.844688
1.0618779,0.9020586
0.6258778,0.9156431
0.8369797,1.2664932
1.1218883,0.9787923
0.9031628,0.7332649
1.2673074,0.3007413
0.8371128,0.7257075
0.6306801,0.7314468
1.4570768,0.7566109
0.6531437,0.3006088
0.3815788,0.9296593
0.500707,1.2908434
1.3074756,0.4381319
1.0308508,1.0702577
0.5595513,0.8175653
0.5942677,1.2195677
0.8275237,1.8942693
0.5819765,0.8171558
0.6314849,1.3639347
1.5355601,1.0227258
0.9270066,0.889127
0.8424495,0.9077801
0.9846696,0.708062
1.1817015,0.9769912
1.4996132,0.8279012
0.5472187,0.750839
0.561762,0.9708144
0.5635729,0.3490514
0.8038271,0.4041884
0.5639328,0.3197496
0.4702839,0.8168521
0.5062418,1.039165
0.9084717,0.5162517
0.6138719,0.8934277
0.6641123,0.938582
0.6298228,0.9474599
0.4727777,0.8263216
0.3791775,1.0148462
0.470927,1.1124553
0.967377,0.8147992
0.3719485,0.9830137
0.5149979,1.7660371
0.5018097,0.9275009
0.532154,0.8725058
0.5462344,0.3777898
0.5871163,1.7641797
1.5008384,1.449578
1.7888274,1.1116042
0.6275425,0.8946473
0.9293074,0.8635305
0.6541798,1.1882931
0.5039019,0.7978664
0.5888882,0.5898591
0.5414311,0.3852939
0.5515495,0.924836
0.4975432,0.9676815
0.4677522,0.5816435
0.6156842,0.609735
0.3806237,1.3499982
1.2575052,0.4046882
0.8850106,0.6058687
0.6926709,0.5675894
1.2752054,0.8810942
0.6195885,0.8961517
0.7285846,0.8816239
0.6507679,0.5139301
0.5593153,0.7976138
0.5610329,0.6246056
0.5110324,0.8808113
0.3853164,0.8351094
1.3684823,0.7768356
0.4208431,2.3779951
0.4187366,0.8428877
0.3566612,0.8829748
0.6725164,0.961652
0.6373638,0.8579744
0.6379934,0.8343025
0.6398283,0.9591049
0.7928012,1.3033412
0.5352262,0.9112861
0.3965569,0.5266599
0.3362349,0.7457215
0.4876351,0.8587169
0.5200778,0.9540153
0.5126275,0.4334635
0.6253292,0.3647285
0.5178007,0.9532827
0.39471,0.9898218
0.4229709,0.3962212
0.6430225,0.3806764
0.620474,0.8722507
0.5372263,0.9529296
0.4885648,0.5546342
0.7875846,0.4709781
0.7053818,0.6312224
0.5808541,1.1618721
0.4132526,0.436655
0.5030263,0.4986065
0.5007129,0.4480145
0.4823752,0.3202793
0.7123055,0.2971079
2.1096772,0.3634667
0.5591948,0.5530102
0.3770146,0.3299297
0.7220268,0.6862165
0.5356633,0.4199313
0.428945,0.4328616
0.4854678,1.2652097
0.571248,0.5107275
0.473903,0.4237939
0.5099282,0.3451994
0.379514,0.5317702
0.3507756,0.4647859
0.4102947,0.2603982
0.5543337,0.3687983
0.3685929,0.3245679
0.5515681,0.5174768
0.4651002,0.4655051
0.8795487,0.3455128
0.4651525,0.5916126
0.4896709,0.3504381
0.3910688,0.2945421
1.3216545,0.6218946
0.4144786,0.5840177
0.478448,0.2795742
0.5140007,0.3616553
0.5618592,0.4843356
0.4359909,0.4308736
0.382928,0.3626179
0.5485203,0.6638384
0.4719609,0.471229
0.6092559,0.8686758
0.3690644,0.5112183
0.6476125,0.3208296
0.4689411,0.5464522
0.5339321,0.3179473
0.4578732,0.3497594
0.3926649,0.2847969
0.5029152,0.303418
0.4932527,0.2994208
0.6854376,0.2816689
0.5680847,0.2715228
0.4746164,0.4194749
0.583644,0.2494705
0.5144148,0.2511899
0.5103967,0.3103369
1.0774543,0.2950497
0.3794578,0.2400088
1.2732381,0.2837769
0.3712822,0.2689203
0.5242644,0.2997484
0.8750992,0.25469
0.5537414,0.3080901
0.6133263,0.3712556
0.4585027,0.3942096
0.4578958,0.4699558
0.4983162,0.3982369
0.6250873,0.4150706
0.7144623,0.4674349
1.0480773,0.5618145
0.9066555,0.4971208
0.5721697,0.5784112
0.571143,0.484422
0.4397479,0.9027116
0.3147698,0.4572915
0.5456611,0.4105947
0.4318516,0.5353898
0.9030918,0.9244241
0.6297089,0.5982796
0.641625,0.5257126
0.4834004,0.5931065
0.5316632,0.9333273
0.5743162,0.4760178
0.5376294,0.6397541
0.3833565,0.560402
0.3449601,1.1207569
0.4993432,0.4388615
0.5039441,0.7119571
0.5536869,0.5821572
0.5445024,1.0524918
0.4704001,0.5932974
0.6035262,0.9771023
0.50619,1.2823866
1.8594541,0.7218853
0.5507621,
0.4709867,0.698237118
0.671456562,
